"customer_id,last_active_week,activity_status"
"0002-ORFBO,2023-05-17 00:00:00.000000,Dormant"
"0003-MKNFE,2023-07-17 00:00:00.000000,Dormant"
"0004-TLHLJ,2023-09-19 00:00:00.000000,Dormant"
"0011-IGKFF,2023-04-10 00:00:00.000000,Dormant"
"0013-EXCHZ,2023-11-30 00:00:00.000000,Dormant"
"0013-MHZWF,2023-05-27 00:00:00.000000,Dormant"
"0013-SMEOE,2024-06-09 00:00:00.000000,Dormant"
"0014-BMAQU,2023-09-06 00:00:00.000000,Dormant"
"0015-UOCOJ,2024-02-06 00:00:00.000000,Dormant"
"0016-QLJIS,2024-02-28 00:00:00.000000,Dormant"
"0017-DINOC,2023-11-30 00:00:00.000000,Dormant"
"0017-IUDMW,2023-12-07 00:00:00.000000,Dormant"
"0018-NYROU,2023-11-06 00:00:00.000000,Dormant"
"0019-EFAEP,2023-08-11 00:00:00.000000,Dormant"
"0019-GFNTW,2024-05-07 00:00:00.000000,Dormant"
"0020-INWCK,2023-10-11 00:00:00.000000,Dormant"
"0020-JDNXP,2023-11-03 00:00:00.000000,Dormant"
"0021-IKXGC,2023-04-12 00:00:00.000000,Dormant"
"0022-TCJCI,2023-10-05 00:00:00.000000,Dormant"
"0023-HGHWL,2023-12-29 00:00:00.000000,Dormant"
"0023-UYUPN,2023-11-28 00:00:00.000000,Dormant"
"0023-XUOPT,2023-08-21 00:00:00.000000,Dormant"
"0027-KWYKW,2023-10-22 00:00:00.000000,Dormant"
"0030-FNXPP,2023-03-03 00:00:00.000000,Dormant"
"0031-PVLZI,2023-08-06 00:00:00.000000,Dormant"
"0032-PGELS,2023-02-23 00:00:00.000000,Dormant"
"0036-IHMOT,2024-03-08 00:00:00.000000,Dormant"
"0040-HALCW,2023-10-31 00:00:00.000000,Dormant"
"0042-JVWOJ,2023-12-13 00:00:00.000000,Dormant"
"0042-RLHYP,2023-06-18 00:00:00.000000,Dormant"
"0048-LUMLS,2023-08-10 00:00:00.000000,Dormant"
"0048-PIHNL,2023-08-04 00:00:00.000000,Dormant"
"0052-DCKON,2024-02-27 00:00:00.000000,Dormant"
"0052-YNYOT,2023-10-10 00:00:00.000000,Dormant"
